,ANO,COD_MUNICIPIO,MUNICIPIO,ACCESOS_FIJOS,POBLACION,INDICADOR_INTERNET,Acueducto,Alcantarillado,Energiaelectrica,Gasnatural,PERIODO,ESTU_COD_RESIDE_MCPIO,PUNT_LECTURA_CRITICA_MIN,PUNT_LECTURA_CRITICA_Q25,PUNT_LECTURA_CRITICA_MEAN,PUNT_LECTURA_CRITICA_MEDIAN,PUNT_LECTURA_CRITICA_Q75,PUNT_LECTURA_CRITICA_MAX,PUNT_LECTURA_CRITICA_STD,PUNT_MATEMATICAS_MIN,PUNT_MATEMATICAS_Q25,PUNT_MATEMATICAS_MEAN,PUNT_MATEMATICAS_MEDIAN,PUNT_MATEMATICAS_Q75,PUNT_MATEMATICAS_MAX,PUNT_MATEMATICAS_STD,PUNT_C_NATURALES_MIN,PUNT_C_NATURALES_Q25,PUNT_C_NATURALES_MEAN,PUNT_C_NATURALES_MEDIAN,PUNT_C_NATURALES_Q75,PUNT_C_NATURALES_MAX,PUNT_C_NATURALES_STD,PUNT_SOCIALES_CIUDADANAS_MIN,PUNT_SOCIALES_CIUDADANAS_Q25,PUNT_SOCIALES_CIUDADANAS_MEAN,PUNT_SOCIALES_CIUDADANAS_MEDIAN,PUNT_SOCIALES_CIUDADANAS_Q75,PUNT_SOCIALES_CIUDADANAS_MAX,PUNT_SOCIALES_CIUDADANAS_STD,PUNT_INGLES_MIN,PUNT_INGLES_Q25,PUNT_INGLES_MEAN,PUNT_INGLES_MEDIAN,PUNT_INGLES_Q75,PUNT_INGLES_MAX,PUNT_INGLES_STD,PUNT_GLOBAL_MIN,PUNT_GLOBAL_Q25,PUNT_GLOBAL_MEAN,PUNT_GLOBAL_MEDIAN,PUNT_GLOBAL_Q75,PUNT_GLOBAL_MAX,PUNT_GLOBAL_STD,INDICADOR_ACUEDUCTO,INDICADOR_ALCANTARILLADO,INDICADOR_ENERGIA_ELECTRICA,INDICADOR_GAS_NATURAL,KmDist
0,2019,25001,AGUA DE DIOS,563,11966,0.047,4438,3723,4760,3481,2019,25001,29,44.0,51.107438016528924,50.0,57.0,78,9.830905055735002,25,44.0,50.21487603305785,50.0,56.0,78,10.500957584565203,27,41.0,47.603305785123965,46.0,54.0,71,9.610306393696105,22,36.0,44.72727272727273,43.0,51.0,79,11.009087155618307,28.0,39.0,46.28099173553719,45.0,53.0,78.0,9.927422576291612,148,212.0,241.25619834710744,234.0,267.0,368,44.90110038102627,0.3708841718201571,0.3111315393615243,0.39779374895537356,0.2909075714524486,46.40561411
1,2020,25001,AGUA DE DIOS,231,12325,0.0187,4491,3767,4743,3531,2020,25001,31,44.0,50.666666666666664,50.0,56.0,74,9.210501253098734,27,43.0,49.06976744186046,49.0,55.0,69,9.192546272755125,32,42.0,48.093023255813954,47.0,54.0,100,9.394514573396938,26,39.0,47.23255813953488,46.0,53.0,76,10.409214388513982,28.0,40.0,45.93023255813954,44.0,51.0,76.0,8.920820140365134,161,214.0,242.73643410852713,234.0,270.0,376,41.482398258901064,0.36438133874239353,0.30563894523326574,0.38482758620689655,0.2864908722109534,46.40561411
3,2019,25019,ALBAN,196,6650,0.0295,513,417,2135,400,2019,25019,30,46.0,51.028985507246375,52.0,57.0,69,8.98032328530607,25,44.0,49.89855072463768,51.0,57.0,74,11.038895042125624,25,41.0,46.971014492753625,46.0,53.0,64,8.452237807567249,24,38.0,44.91304347826087,45.0,53.0,62,9.68585859784736,25.0,40.0,46.01449275362319,46.0,54.0,62.0,9.866003353201737,153,208.0,240.18840579710144,242.0,272.0,321,41.69824208536108,0.07714285714285714,0.06270676691729324,0.32105263157894737,0.06015037593984962,35.98290335
4,2020,25019,ALBAN,255,6879,0.0371,607,433,2285,404,2020,25019,32,45.0,52.42857142857143,52.0,58.5,74,9.01023483585389,26,43.5,50.698412698412696,50.0,58.5,77,10.295058195381303,31,43.0,48.492063492063494,48.0,55.0,69,9.171964674806794,28,37.5,47.111111111111114,46.0,55.5,68,10.72547632014107,30.0,40.0,45.507936507936506,47.0,50.5,59.0,6.999707403730473,153,220.5,246.8095238095238,247.0,270.5,328,40.87189157278297,0.08823956970489896,0.06294519552260502,0.3321703736008141,0.05872946649222271,35.98290335
6,2019,25035,ANAPOIMA,746,15315,0.0487,5184,3517,6387,1677,2019,25035,27,41.0,49.494949494949495,50.0,56.0,78,9.987173232965052,20,40.25,47.66161616161616,48.0,55.0,100,11.000306475386394,22,38.25,46.14646464646464,46.5,52.0,81,9.631471395635076,21,35.25,43.78787878787879,42.0,50.75,78,11.442881969236716,22.0,39.0,46.34848484848485,47.0,53.0,84.0,10.139372557769612,142,201.25,233.6818181818182,233.0,263.75,421,45.77227645757752,0.33849167482859943,0.22964413973228862,0.41704211557296766,0.10950048971596474,34.28546579
7,2020,25035,ANAPOIMA,1571,16064,0.0978,5272,3644,8869,1833,2020,25035,33,44.75,51.11805555555556,51.0,58.0,75,9.211953717729552,28,43.0,49.72222222222222,49.5,56.0,76,9.744601836774294,28,41.75,47.708333333333336,47.0,55.0,70,8.679914117715056,23,38.0,46.541666666666664,46.0,53.0,79,10.546517007003825,0.0,40.75,46.09027777777778,46.0,51.0,69.0,9.271290519357478,157,213.5,242.81944444444446,244.5,271.25,363,40.69718513620909,0.3281872509960159,0.2268426294820717,0.5521040836653387,0.11410607569721115,34.28546579
9,2019,25040,ANOLAIMA,384,14161,0.0271,2089,1737,5287,800,2019,25040,31,46.75,52.23780487804878,53.0,59.0,73,9.009785276836514,26,44.0,51.31707317073171,51.0,59.0,75,10.059184429222691,25,42.0,47.69512195121951,49.0,54.0,70,9.190804986727498,19,38.0,45.890243902439025,45.0,55.0,67,11.19761817088272,26.0,40.75,46.84146341463415,47.0,53.0,72.0,9.252384222253168,151,219.25,245.52439024390245,247.5,273.75,350,41.98677139312518,0.14751783066167642,0.12266082903749735,0.37334933973589435,0.05649318550949792,31.90712111
10,2020,25040,ANOLAIMA,773,14577,0.053,1788,1484,5405,792,2020,25040,31,49.0,55.6,57.0,61.0,78,9.880291901924098,23,47.0,52.916666666666664,54.0,59.25,78,10.049945301354834,34,46.0,51.53333333333333,52.0,58.0,76,8.502034688092904,29,44.0,51.49166666666667,52.0,58.25,100,11.567845781406707,31.0,41.0,48.141666666666666,46.0,54.0,76.0,10.28443862693285,166,228.75,262.56666666666666,262.5,288.25,392,43.24733116229329,0.12265898332990327,0.10180421211497565,0.370789600054881,0.0543321671125746,31.90712111
12,2019,25053,ARBELAEZ,480,10825,0.0443,1928,1308,4282,2296,2019,25053,31,47.0,52.52127659574468,54.0,60.0,73,9.26982469983564,28,46.25,53.361702127659576,53.0,60.0,81,10.466383528630242,29,43.0,49.340425531914896,50.0,55.0,74,9.824867715314397,20,38.0,46.52127659574468,46.0,55.0,72,11.72968729097999,27.0,39.0,47.09574468085106,47.5,53.0,75.0,10.490209617857227,158,216.25,250.88297872340425,255.5,287.5,355,45.49745505891785,0.17810623556581986,0.12083140877598153,0.39556581986143186,0.21210161662817553,13.45043801
13,2020,25053,ARBELAEZ,585,10959,0.0534,2015,1336,4413,2248,2020,25053,30,46.0,51.8421052631579,52.0,58.0,72,8.947812257820962,26,45.25,51.473684210526315,52.0,57.0,79,9.78549633482449,26,44.0,49.10526315789474,49.0,54.0,69,8.415502362820098,23,41.0,48.03508771929825,47.0,56.0,100,11.733719524773145,28.0,38.0,43.228070175438596,43.0,48.75,64.0,7.4072854446651775,171,221.25,247.92105263157896,245.5,272.0,375,39.98918985271958,0.18386714116251482,0.12190893329683365,0.4026827265261429,0.20512820512820512,13.45043801
